[2017-03-13T16:43:17.106Z, 1025.0]
[2017-03-13T16:43:18.105Z, 1025.0]
[2017-03-13T16:43:19.107Z, 1025.0]
[2017-03-13T16:43:20.108Z, 1026.0]
[2017-03-13T16:43:21.108Z, 1026.0]
[2017-03-13T16:43:22.109Z, 1025.0]
[2017-03-13T16:43:23.112Z, 1025.0]
[2017-03-13T16:43:24.112Z, 1027.0]
[2017-03-13T16:43:25.112Z, 1025.0]
[2017-03-13T16:43:26.11Z, 1025.0]
[2017-03-13T16:43:27.115Z, 1025.0]
[2017-03-13T16:43:28.113Z, 1025.0]
[2017-03-13T16:43:29.113Z, 1026.0]
[2017-03-13T16:43:30.113Z, 1024.0]
[2017-03-13T16:43:31.117Z, 1025.0]
[2017-03-13T16:43:32.117Z, 1024.0]
[2017-03-13T16:43:33.116Z, 1025.0]
[2017-03-13T16:43:34.116Z, 1025.0]
[2017-03-13T16:43:35.123Z, 1027.0]
[2017-03-13T16:43:36.123Z, 1027.0]
[2017-03-13T16:43:37.123Z, 1026.0]
[2017-03-13T16:43:38.123Z, 1026.0]
[2017-03-13T16:43:39.123Z, 1024.0]
[2017-03-13T16:43:40.123Z, 1023.0]
[2017-03-13T16:43:41.122Z, 1024.0]
[2017-03-13T16:43:42.123Z, 1026.0]
[2017-03-13T16:43:43.123Z, 1026.0]
[2017-03-13T16:43:44.127Z, 1025.0]
[2017-03-13T16:43:45.128Z, 1025.0]
[2017-03-13T16:43:46.128Z, 1027.0]
[2017-03-13T16:43:47.128Z, 1023.0]
[2017-03-13T16:43:48.128Z, 1031.0]
[2017-03-13T16:43:49.128Z, 1036.0]
[2017-03-13T16:43:50.129Z, 1027.0]
[2017-03-13T16:43:51.133Z, 1025.0]
[2017-03-13T16:43:52.133Z, 1026.0]
[2017-03-13T16:43:53.133Z, 1026.0]
[2017-03-13T16:43:54.134Z, 1025.0]
[2017-03-13T16:43:55.134Z, 1025.0]
[2017-03-13T16:43:56.133Z, 1026.0]
[2017-03-13T16:43:57.133Z, 1025.0]
[2017-03-13T16:43:58.141Z, 1025.0]
[2017-03-13T16:43:59.14Z, 1024.0]
[2017-03-13T16:44:00.14Z, 1025.0]
[2017-03-13T16:44:01.14Z, 1023.0]
[2017-03-13T16:44:02.14Z, 1025.0]
[2017-03-13T16:44:03.14Z, 1027.0]
[2017-03-13T16:44:04.141Z, 1024.0]
[2017-03-13T16:44:05.146Z, 1024.0]
[2017-03-13T16:44:06.145Z, 1025.0]
[2017-03-13T16:44:07.145Z, 1025.0]
[2017-03-13T16:44:08.144Z, 1025.0]
[2017-03-13T16:44:09.15Z, 1024.0]
[2017-03-13T16:44:10.157Z, 1024.0]
[2017-03-13T16:44:11.156Z, 1024.0]
[2017-03-13T16:44:12.156Z, 1026.0]
[2017-03-13T16:44:13.156Z, 1025.0]
[2017-03-13T16:44:14.156Z, 1025.0]
[2017-03-13T16:44:15.156Z, 1026.0]
[2017-03-13T16:44:16.155Z, 1027.0]
[2017-03-13T16:44:17.159Z, 1026.0]
[2017-03-13T16:44:18.159Z, 1027.0]
[2017-03-13T16:44:19.159Z, 1028.0]
[2017-03-13T16:44:20.159Z, 1026.0]
[2017-03-13T16:44:21.163Z, 1025.0]
[2017-03-13T16:44:22.163Z, 1024.0]
[2017-03-13T16:44:23.163Z, 1024.0]
[2017-03-13T16:44:24.164Z, 1024.0]
[2017-03-13T16:44:25.164Z, 1024.0]
[2017-03-13T16:44:26.164Z, 1024.0]
[2017-03-13T16:44:27.171Z, 1026.0]
[2017-03-13T16:44:28.172Z, 1026.0]
[2017-03-13T16:44:29.172Z, 1023.0]
[2017-03-13T16:44:30.171Z, 1026.0]
[2017-03-13T16:44:31.171Z, 1025.0]
[2017-03-13T16:44:32.171Z, 1026.0]
[2017-03-13T16:44:33.17Z, 1025.0]
[2017-03-13T16:44:34.171Z, 1024.0]
[2017-03-13T16:44:35.171Z, 1024.0]
[2017-03-13T16:44:36.171Z, 1026.0]
[2017-03-13T16:44:37.175Z, 1025.0]
[2017-03-13T16:44:38.175Z, 1025.0]
[2017-03-13T16:44:39.176Z, 1025.0]
[2017-03-13T16:44:40.176Z, 1025.0]
[2017-03-13T16:44:41.176Z, 1023.0]
[2017-03-13T16:44:42.176Z, 1024.0]
[2017-03-13T16:44:43.177Z, 1025.0]
[2017-03-13T16:44:44.182Z, 1024.0]
[2017-03-13T16:44:45.181Z, 1023.0]
[2017-03-13T16:44:46.18Z, 1024.0]
[2017-03-13T16:44:47.18Z, 1025.0]
